name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
camel,1,org.apache.camel.Message,13,1,0,66,13,78,66,1,13,2,13,0,0,0,0.369230769,0,0,0,1,1,1
camel,1,org.apache.camel.component.file.FileProducer,5,3,0,8,31,2,1,8,3,0.5,122,1,1,0.8,0.4,0,0,23,3,1.2,2
camel,1,org.apache.camel.CamelContext,17,1,0,84,17,136,80,7,17,2,17,0,0,0,0.222222222,0,0,0,1,1,1
camel,1,org.apache.camel.component.file.FileEndpoint,10,3,0,11,17,33,3,11,9,0.555555556,79,1,0,0.666666667,0.266666667,1,1,6.7,3,1.1,1
camel,1,org.apache.camel.impl.MessageSupport,13,1,1,7,24,66,2,5,11,0.770833333,113,1,2,0,0.3,0,0,7.384615385,3,1.1538,1
camel,1,org.apache.camel.impl.DefaultExchange,28,1,11,23,50,346,16,7,22,0.888888889,258,1,5,0,0.155555556,0,0,7.928571429,3,1.25,1
camel,1,org.apache.camel.builder.xml.XsltBuilder,25,1,0,11,63,230,0,11,22,0.65,316,1,2,0,0.13,0,0,11.44,3,1.04,1
camel,1,org.apache.camel.Processor,1,1,0,126,1,0,125,1,1,2,1,0,0,0,1,0,0,0,1,1,1
camel,1,org.apache.camel.converter.NIOConverter,9,1,0,1,26,36,1,0,9,2,81,0,0,0,0.111111111,0,0,8,1,0.8889,1
camel,1,org.apache.camel.component.file.FileConsumer,14,4,0,8,39,51,1,8,7,0.730769231,240,1,1,0.692307692,0.307692308,1,1,15.71428571,6,1.7143,1
camel,1,org.apache.camel.impl.ServiceSupport,8,1,25,26,13,8,25,1,6,0.666666667,94,1,0,0,1,0,0,10.375,1,0.875,1
camel,1,org.apache.camel.impl.DefaultCamelContext,32,2,1,22,76,400,2,21,25,0.867383513,718,1,4,0.184210526,0.122767857,1,1,21.15625,3,1.4063,1
camel,1,org.apache.camel.builder.PredicateBuilder,15,1,0,17,30,105,2,15,15,2,123,0,0,0,0.2,0,0,7.2,1,0.9333,1
