name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
log4j,1,org.apache.log4j.net.SyslogAppender,12,2,0,10,35,24,0,10,11,0.994134897,531,0.064516129,2,0.666666667,0.366666667,2,4,40.66666667,23,5.0833,2
log4j,1,org.apache.log4j.helpers.OnlyOnceErrorHandler,6,1,0,3,9,9,1,2,6,0.866666667,44,0,0,0,0.458333333,0,0,5.833333333,2,1.1667,1
log4j,1,org.apache.log4j.BasicConfigurator,14,1,2,20,42,91,9,11,9,1.051282051,247,0,0,0,0.134615385,0,0,16.42857143,3,1.2857,1
log4j,1,org.apache.log4j.RollingFileAppender,13,3,1,10,42,0,2,8,11,0.729166667,289,0.5,0,0.804878049,0.247863248,1,10,20.92307692,5,1.2308,1
log4j,1,org.apache.log4j.NDC,12,1,0,12,41,0,10,2,9,0.666666667,275,0,0,0,0.090909091,0,0,21.66666667,6,2.25,1
log4j,1,org.apache.log4j.Priority,10,1,2,40,13,15,40,0,8,0.811965812,169,0,5,0,0.333333333,0,0,14.6,7,2.1,1
log4j,1,org.apache.log4j.spi.LocationInfo,6,1,0,7,21,0,5,2,5,0.9,274,0.2,0,0,0.466666667,0,0,43,5,2.8333,1
log4j,1,org.apache.log4j.helpers.LogLog,7,1,0,28,16,9,28,1,6,1,91,0.75,0,0,0.333333333,0,0,11.42857143,3,1.2857,2
log4j,1,org.apache.log4j.spi.LoggingEvent,9,1,0,53,27,20,50,4,6,0.894230769,151,0.076923077,2,0,0.232142857,0,0,14.33333333,3,1.3333,2
log4j,1,org.apache.log4j.helpers.Loader,4,1,0,0,15,6,0,0,4,2,73,0,0,0,0.333333333,0,0,17.25,1,0.75,3
log4j,1,org.apache.log4j.xml.XMLLayout,6,2,0,5,24,9,0,5,6,0.92,241,0.8,0,0.615384615,0.444444444,1,1,38.33333333,5,1.8333,1
log4j,1,org.apache.log4j.test.ShortSocketServer,7,1,0,5,35,15,0,5,2,0.75,179,0,1,0,0.25,0,0,24,2,1,1
log4j,1,org.apache.log4j.FileAppender,20,2,2,17,46,58,9,8,15,0.649122807,413,0.666666667,2,0.545454545,0.2375,1,3,19.2,7,1.65,1
log4j,1,org.apache.log4j.HTMLLayout,10,2,0,6,33,33,0,6,9,0.933333333,321,0.6,0,0.470588235,0.325,1,1,30.6,5,1.7,2
