name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
xerces,init,org.xml.sax.SAXParseException,8,4,0,0,14,0,0,0,8,0.428571429,98,1,0,0.833333333,0.45,0,0,10.75,1,0.5,2
xerces,init,org.apache.xerces.parsers.DOMParser,56,2,2,20,207,778,4,17,37,0.856643357,4705,0.961538462,6,0.704918033,0.183471074,2,14,82.55357143,14,1.7679,4
xerces,init,org.apache.xerces.validators.datatype.DatatypeValidator,4,1,0,13,4,6,9,4,4,1.333333333,19,0,0,0,0.4,0,0,0,1,1,1
xerces,init,org.w3c.dom.CDATASection,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
xerces,init,org.w3c.dom.Notation,2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,1,1,2
xerces,init,org.apache.xerces.validators.datatype.StringValidator,7,1,0,7,8,21,1,6,7,2,16,0,0,0,0.265306122,0,0,1.285714286,1,0.8571,1
xerces,init,org.apache.xerces.dom.NamedNodeMapImpl,14,1,0,12,51,0,5,8,8,0.557692308,756,0.875,3,0,0.241071429,0,0,52.42857143,16,3.3571,2
xerces,init,org.apache.xerces.dom.CharacterDataImpl,11,2,2,6,26,25,3,4,10,1.05,223,0.5,1,0.814814815,0.477272727,1,1,19.09090909,3,1.3636,1
xerces,init,org.apache.xerces.parsers.SAXParser,48,2,1,5,98,668,1,4,37,0.904255319,1044,1,5,0.737142857,0.145662848,2,10,20.58333333,3,1.0417,9
xerces,init,org.apache.xerces.dom.DeferredDocumentTypeImpl,4,3,0,6,28,0,1,6,1,0.666666667,179,0.5,0,0.947368421,0.5,2,13,43.25,8,2.5,1
xerces,init,org.apache.xerces.dom.NodeImpl,47,1,11,29,87,781,20,14,34,0.910079051,1643,0.818181818,6,0,0.127090301,0,0,33.4893617,31,2.766,3
xerces,init,org.apache.xerces.readers.XMLEntityReader,9,1,5,8,11,0,5,3,5,0.638888889,161,1,2,0,0.466666667,0,0,15.88888889,2,0.8889,1
xerces,init,org.apache.xerces.dom.events.EventImpl,10,1,1,5,11,27,3,2,10,0.888888889,79,0,2,0,0.4,0,0,6,1,0.9,2
xerces,init,org.xml.sax.EntityResolver,1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,2
xerces,init,org.apache.xerces.readers.StringReader,29,2,0,9,57,0,1,8,22,0.485714286,2421,0.9,3,0.205882353,0.242857143,1,2,82.13793103,4,1.2759,2
xerces,init,org.xml.sax.InputSource,14,1,0,0,15,81,0,0,14,0.876923077,75,1,0,0,0.392857143,0,0,4,1,0.7143,2
xerces,init,org.apache.xerces.dom.DeferredAttrImpl,4,3,0,6,15,0,1,6,1,0.666666667,135,0.5,0,0.952380952,0.5,2,16,32.25,4,2,1
xerces,init,org.xml.sax.HandlerBase,15,1,0,0,16,105,0,0,15,2,34,0,0,0,0.285714286,0,0,1.266666667,1,0.9333,2
xerces,init,org.xml.sax.helpers.ParserFactory,3,1,0,0,8,3,0,0,3,2,25,0,0,0,0.333333333,0,0,7.333333333,1,0.6667,2
xerces,init,org.w3c.dom.ProcessingInstruction,3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.666666667,0,0,0,1,1,2
xerces,init,org.xml.sax.SAXNotRecognizedException,1,4,0,0,2,0,0,0,1,2,5,0,0,1,1,0,0,4,0,0,2
xerces,init,org.w3c.dom.DocumentType,3,1,0,0,3,3,0,0,3,2,3,0,0,0,1,0,0,0,1,1,2
xerces,init,org.apache.xerces.validators.dtd.DTDValidator,127,1,0,40,255,5157,12,39,72,0.947260625,6193,0.989247312,21,0,0.111479486,0,0,47.03149606,21,1.6929,2
xerces,init,org.apache.xerces.readers.AbstractCharReader,33,2,2,14,69,0,3,12,20,0.534722222,2970,1,2,0.184210526,0.1875,1,3,88.72727273,2,1.0606,2
xerces,init,org.apache.xerces.framework.XMLValidator,23,1,0,6,23,253,5,1,23,2,23,0,0,0,0.376811594,0,0,0,1,1,1
xerces,init,org.w3c.dom.EntityReference,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
xerces,init,org.xml.sax.DTDHandler,2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,1,1,2
xerces,init,org.xml.sax.helpers.ConfigurableParserAdapter,12,1,0,0,28,0,0,0,12,0.5,150,1,2,0,0.196969697,0,0,11.33333333,1,0.9167,1
xerces,init,org.w3c.dom.Node,18,1,0,0,18,153,0,0,18,1.058823529,30,0,0,0,0.333333333,0,0,0,1,1,2
xerces,init,org.w3c.dom.Entity,3,1,0,0,3,3,0,0,3,2,3,0,0,0,1,0,0,0,1,1,2
xerces,init,org.apache.xerces.dom.ElementImpl,30,2,1,11,73,0,7,8,27,0.879310345,624,0.833333333,1,0.611111111,0.34,1,13,19.6,6,1.9333,1
xerces,init,org.apache.xerces.domx.DOMException,1,5,1,1,2,0,1,0,1,2,9,0,0,1,1,0,0,5,0,0,1
xerces,init,org.w3c.dom.DocumentFragment,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
xerces,init,org.xml.sax.helpers.AttributeListImpl,12,1,0,0,24,0,0,0,12,0.303030303,166,0,0,0,0.4375,0,0,12.58333333,2,1,2
xerces,init,org.w3c.dom.Comment,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
xerces,init,org.apache.xerces.dom.traversal.NodeIteratorImpl,12,1,0,5,23,8,2,4,8,0.670454545,370,1,4,0,0.319444444,0,0,29.16666667,11,4.4167,1
xerces,init,org.xml.sax.SAXException,6,3,3,0,8,0,0,0,6,0.1,54,1,0,0.85,0.555555556,1,2,7.666666667,3,0.8333,2
xerces,init,org.apache.xerces.framework.Version,3,1,0,0,5,1,0,0,2,0.5,14,0,0,0,0.5,0,0,3.333333333,1,0.3333,5
xerces,init,org.w3c.dom.DOMException,1,4,1,0,2,0,0,0,1,2,19,0,0,1,1,0,0,7,0,0,3
xerces,init,org.apache.xerces.framework.XMLErrorReporter,3,1,0,21,3,3,21,0,3,1.5,6,0,0,0,0.533333333,0,0,0,1,1,1
xerces,init,org.apache.xerces.readers.XMLEntityHandler,18,1,0,20,18,153,19,1,18,1.058823529,59,0,0,0,0.296296296,0,0,0,1,1,1
xerces,init,org.w3c.dom.NodeList,2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,2
xerces,init,org.xml.sax.helpers.LocatorImpl,10,1,0,0,15,37,0,0,10,0.777777778,64,1,0,0,0.375,0,0,5,1,0.8,2
xerces,init,org.apache.xerces.msg.SchemaMessages,3,3,0,0,4,1,0,0,2,0.5,286,0,0,0.974358974,1,0,0,94,1,0.3333,2
xerces,init,org.w3c.dom.NamedNodeMap,5,1,0,0,5,10,0,0,5,2,5,0,0,0,0.45,0,0,0,1,1,2
xerces,init,org.apache.xerces.dom.events.MutationEventImpl,6,2,0,5,8,0,3,2,6,0.981818182,62,0,1,0.642857143,0.375,0,0,7.5,1,0.8333,1
xerces,init,org.w3c.dom.Element,9,1,0,0,9,36,0,0,9,2,9,0,0,0,0.592592593,0,0,0,1,1,2
xerces,init,org.xml.sax.SAXNotSupportedException,1,4,0,0,2,0,0,0,1,2,5,0,0,1,1,0,0,4,0,0,2
xerces,init,org.xml.sax.Parser,7,1,0,0,7,21,0,0,7,2,7,0,0,0,0.25,0,0,0,1,1,2
xerces,init,org.w3c.dom.Document,12,1,0,0,12,66,0,0,12,2,12,0,0,0,0.833333333,0,0,0,1,1,2
xerces,init,org.apache.xerces.readers.UTF8Reader,41,2,0,11,74,0,1,10,22,0.596875,7275,0.875,3,0.152173913,0.181818182,1,4,176.0487805,2,1.0488,5
xerces,init,org.apache.xerces.validators.schema.XSchemaValidator,100,1,0,31,240,2870,4,30,53,0.973956432,6081,1,9,0,0.135625,0,0,58.98,11,1.48,1
xerces,init,org.xml.sax.AttributeList,6,1,0,0,6,15,0,0,6,2,6,0,0,0,0.611111111,0,0,0,1,1,2
xerces,init,org.apache.xerces.dom.DOMImplementationImpl,6,1,0,3,16,13,1,3,5,0.8,75,0,1,0,0.533333333,0,0,11.33333333,4,1.3333,2
xerces,init,org.apache.xerces.dom.DocumentImpl,48,2,1,41,121,1072,30,26,47,0.939209726,959,0.857142857,2,0.5,0.179924242,1,9,18.83333333,23,1.9167,8
xerces,init,org.w3c.dom.DOMImplementation,1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,2
xerces,init,org.apache.xerces.readers.UCSReader,31,2,0,13,58,0,1,12,24,0.814583333,2499,0.625,3,0.194444444,0.203030303,1,4,79.09677419,5,1.2581,2
xerces,init,org.xml.sax.Locator,4,1,0,0,4,6,0,0,4,2,4,0,0,0,1,0,0,0,1,1,2
xerces,init,org.apache.xerces.readers.XCatalog,8,2,0,2,32,10,1,2,7,1.040816327,223,0.214285714,0,0.588235294,0.46875,1,1,25.125,6,1.5,1
xerces,init,org.apache.xerces.dom.AttrImpl,18,2,1,10,40,67,8,4,16,0.911764706,283,0.833333333,0,0.733333333,0.361111111,1,9,14.38888889,6,1.5556,2
xerces,init,org.xml.sax.Configurable,4,1,0,0,4,6,0,0,4,2,4,0,0,0,0.625,0,0,0,1,1,1
xerces,init,org.w3c.dom.CharacterData,8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.666666667,0,0,0,1,1,2
xerces,init,org.apache.xerces.dom.traversal.TreeWalkerImpl,19,1,0,3,28,47,1,2,13,0.533333333,530,0.2,3,0,0.315789474,0,0,26.63157895,10,4.0526,1
xerces,init,org.apache.xerces.readers.UTF8Recognizer,2,2,0,9,17,1,2,9,1,2,174,0,0,0.75,0.571428571,2,2,86,1,0.5,1
xerces,init,org.apache.xerces.framework.XMLDocumentScanner,27,1,0,13,66,117,6,8,8,0.936493739,2149,0.069767442,7,0,0.230769231,0,0,77,2,1,2
xerces,init,org.apache.xerces.framework.XMLParser,131,1,2,29,288,7155,4,27,83,0.943123543,3694,1,22,0,0.095546559,0,0,26.69465649,6,1.1603,11
xerces,init,org.xml.sax.DocumentHandler,8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.354166667,0,0,0,1,1,2
xerces,init,org.apache.xerces.dom.DeferredDocumentImpl,44,3,0,20,76,418,12,19,35,0.80730897,2223,0.952380952,1,0.682170543,0.224747475,2,16,49.04545455,10,2.7727,2
xerces,init,org.apache.xerces.framework.XMLContentSpecNode,1,1,0,7,2,0,7,0,1,2,13,0,0,0,1,0,0,3,0,0,1
xerces,init,org.apache.xerces.dom.DocumentTypeImpl,12,2,1,9,20,26,6,4,12,0.803030303,159,0.833333333,3,0.814814815,0.395833333,1,4,11.75,2,1.4167,2
xerces,init,org.apache.xerces.validators.datatype.DecimalValidator,11,1,0,8,34,29,1,7,7,0.638461538,610,0.153846154,2,0,0.222222222,0,0,53.27272727,14,2.0909,1
xerces,init,org.apache.xerces.framework.XMLDTDScanner,51,1,0,7,121,321,1,6,11,0.905185185,5945,1,6,0,0.165454545,0,0,113.9803922,3,1.0588,5
xerces,init,org.apache.xerces.dom.LCount,3,1,0,3,7,1,3,0,0,0.5,42,0,0,0,0.5,0,0,11.66666667,2,0.6667,1
xerces,init,org.w3c.dom.Attr,4,1,0,0,4,6,0,0,4,2,4,0,0,0,0.625,0,0,0,1,1,2
xerces,init,org.apache.xerces.framework.XMLAttrList,21,1,0,9,27,0,8,1,20,0.806666667,838,1,1,0,0.371428571,0,0,38.19047619,6,2.8095,2
xerces,init,org.xml.sax.ErrorHandler,3,1,0,0,3,3,0,0,3,2,3,0,0,0,1,0,0,0,1,1,2
xerces,init,org.w3c.dom.Text,1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,2
