name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
camel,1.6,org.apache.camel.language.simple.SimpleLanguage,3,2,0,8,22,3,2,6,2,2,165,0,0,0.75,0.666666667,1,3,54,15,5.3333,1
camel,1.6,org.apache.camel.util.ServiceHelper,8,1,0,25,20,22,22,3,6,0.571428571,176,1,0,0,0.25,0,0,20.875,1,0.75,1
camel,1.6,org.apache.camel.impl.DefaultLifecycleStrategy,6,1,0,9,17,15,2,7,6,2,46,0,0,0,0.333333333,0,0,6.666666667,4,1.3333,2
camel,1.6,org.apache.camel.language.simple.FileExpressionBuilder,10,1,0,11,20,45,1,10,9,2,52,0,0,0,0.15,0,0,4.2,1,0.9,3
camel,1.6,org.apache.camel.model.loadbalancer.StickyLoadBalanceStrategy,9,3,0,3,15,6,0,3,8,0.4375,82,1,2,0.666666667,0.416666667,1,2,7.888888889,3,0.8889,1
camel,1.6,org.apache.camel.processor.loadbalancer.StickyLoadBalancer,10,4,0,6,27,5,1,5,8,0.527777778,168,1,2,0.75862069,0.25,2,2,15.4,3,1.1,1
camel,1.6,org.apache.camel.component.direct.DirectEndpoint,11,2,0,11,17,25,3,11,8,0.766666667,73,1,0,0.75,0.25,0,0,5.363636364,1,0.7273,2
camel,1.6,org.apache.camel.model.dataformat.JsonDataFormat,3,3,0,2,4,1,1,1,3,0.5,15,1,0,0.818181818,0.666666667,0,0,3.666666667,1,0.6667,1
camel,1.6,org.apache.camel.builder.NoErrorHandlerBuilder,3,2,0,6,4,3,2,4,3,2,10,0,0,0.666666667,0.555555556,0,0,2.333333333,1,0.6667,1
camel,1.6,org.apache.camel.ProducerTemplate,33,1,0,17,33,528,11,6,33,2,33,0,0,0,0.387205387,0,0,0,1,1,2
camel,1.6,org.apache.camel.processor.TryProcessor,8,2,0,13,33,0,1,12,3,0.464285714,294,1,2,0.7,0.371428571,1,1,35.25,2,0.875,8
camel,1.6,org.apache.camel.processor.loadbalancer.RandomLoadBalancer,2,4,0,5,7,1,2,3,1,2,24,0,0,0.956521739,0.666666667,1,1,11,1,0.5,1
camel,1.6,org.apache.camel.component.bean.DefaultParameterMappingStrategy,4,1,0,4,10,0,1,3,4,0,39,1,0,0,0.583333333,0,0,8.5,1,0.75,2
camel,1.6,org.apache.camel.CamelExchangeException,4,4,8,13,10,0,11,2,3,0.833333333,39,1,1,0.894736842,0.625,0,0,8.25,1,0.5,1
camel,1.6,org.apache.camel.builder.RouteBuilder,27,2,6,26,61,105,12,14,22,0.666666667,265,1,1,0.537037037,0.113756614,1,3,8.703703704,4,1.0741,8
camel,1.6,org.apache.camel.spi.InterceptStrategy,1,1,0,14,1,0,13,2,1,2,1,0,0,0,1,0,0,0,1,1,2
camel,1.6,org.apache.camel.FailedToCreateProducerException,2,5,0,4,7,0,2,2,2,0,25,1,1,0.944444444,0.666666667,0,0,11,1,0.5,1
camel,1.6,org.apache.camel.model.dataformat.ZipDataFormat,5,3,0,5,7,0,1,4,4,0,34,1,0,0.75,0.533333333,1,1,5.6,1,0.6,1
camel,1.6,org.apache.camel.util.FactoryFinder,16,1,1,11,43,112,7,4,14,0.6,275,1,0,0,0.4875,0,0,16.0625,1,0.875,1
camel,1.6,org.apache.camel.impl.DefaultPollingEndpoint,5,3,4,11,11,10,4,7,1,2,33,0,0,0.965517241,0.44,0,0,5.6,1,0.2,1
camel,1.6,org.apache.camel.impl.DefaultProducerTemplate,53,2,1,24,87,1296,9,19,44,0.684615385,614,1,3,0.215384615,0.240566038,1,1,10.49056604,9,1.2642,5
camel,1.6,org.apache.camel.ExpectedBodyTypeException,3,5,0,4,10,0,1,3,3,0.5,34,1,1,0.894736842,0.555555556,0,0,9.666666667,1,0.6667,1
camel,1.6,org.apache.camel.model.loadbalancer.TopicLoadBalanceStrategy,2,3,0,4,4,1,0,4,1,2,9,0,0,0.923076923,0.75,1,1,3.5,1,0.5,1
camel,1.6,org.apache.camel.processor.LoopProcessor,5,3,0,9,21,0,1,8,4,0.875,106,0.5,1,0.88,0.4375,0,0,19.4,1,0.6,1
camel,1.6,org.apache.camel.processor.Interceptor,7,3,0,8,13,0,3,5,5,0.166666667,41,1,1,0.814814815,0.476190476,1,1,4.714285714,1,0.7143,2
camel,1.6,org.apache.camel.builder.ProcessorBuilder,12,1,0,20,24,66,7,13,11,2,74,0,0,0,0.333333333,0,0,5.166666667,1,0.9167,1
camel,1.6,org.apache.camel.impl.MessageSupport,16,1,1,8,31,112,2,6,12,0.8,150,1,2,0,0.266666667,0,0,8.125,3,1.25,2
camel,1.6,org.apache.camel.processor.Logger,19,1,1,15,47,81,7,8,18,0.388888889,474,1,2,0,0.315789474,0,0,23.78947368,8,2.1053,1
camel,1.6,org.apache.camel.processor.interceptor.TraceInterceptor,15,3,0,15,38,37,3,14,10,0.589285714,217,1,4,0.647058824,0.314285714,1,1,13.2,5,1.4,8
camel,1.6,org.apache.camel.builder.ValueBuilder,26,1,1,9,47,0,4,5,24,0.08,236,1,1,0,0.258241758,0,0,8.038461538,2,1,1
camel,1.6,org.apache.camel.processor.MarshalProcessor,2,1,0,5,11,0,1,4,2,0,39,1,1,0,0.666666667,0,0,18,1,0.5,1
camel,1.6,org.apache.camel.util.PackageHelper,3,1,0,3,21,1,1,2,1,0.5,88,1,0,0,0.5,0,0,28,5,1.6667,1
camel,1.6,org.apache.camel.model.loadbalancer.LoadBalancerType,13,2,4,14,33,34,6,9,9,0.625,187,1,1,0.166666667,0.230769231,0,0,13.23076923,3,1.1538,1
camel,1.6,org.apache.camel.spi.HeaderFilterStrategy,2,1,0,40,2,1,40,0,2,2,2,0,0,0,1,0,0,0,1,1,1
camel,1.6,org.apache.camel.component.bean.BeanProcessor,17,2,0,25,53,104,8,17,13,0.866071429,305,0.714285714,1,0.538461538,0.18125,1,1,16.52941176,2,0.7647,4
camel,1.6,org.apache.camel.component.seda.CollectionProducer,3,3,0,6,7,0,1,5,3,0,29,1,0,0.913043478,0.533333333,0,0,8.333333333,1,0.6667,1
camel,1.6,org.apache.camel.Message,22,1,0,182,22,231,182,1,22,2,22,0,0,0,0.25974026,0,0,0,1,1,2
camel,1.6,org.apache.camel.processor.DelayPolicy,6,1,1,3,14,3,3,0,6,0.2,55,1,0,0,0.666666667,0,0,8,1,0.8333,1
camel,1.6,org.apache.camel.component.bean.CamelInvocationHandler,2,1,0,12,15,0,2,10,2,0,70,1,3,0,0.571428571,0,0,32.5,1,0.5,1
camel,1.6,org.apache.camel.processor.ErrorHandlerSupport,6,2,2,14,21,5,5,9,4,0.4,96,1,1,0.736842105,0.366666667,0,0,14.66666667,2,1.1667,1
camel,1.6,org.apache.camel.impl.DefaultUnitOfWork,10,1,0,7,24,29,2,5,9,0.911111111,110,1,1,0,0.444444444,0,0,9.5,4,1.6,7
camel,1.6,org.apache.camel.processor.DelayProcessorSupport,11,3,3,9,30,37,3,6,4,0.666666667,127,1,0,0.709677419,0.3,1,1,10.27272727,1,0.8182,1
camel,1.6,org.apache.camel.processor.MulticastProcessor,18,2,2,20,64,93,7,16,9,0.745098039,377,1,1,0.5,0.2,1,1,19.61111111,3,0.9444,8
camel,1.6,org.apache.camel.impl.DefaultCamelContext,75,2,1,56,171,2573,15,44,61,0.9306698,1510,1,8,0.164705882,0.069256757,1,1,18.82666667,7,1.36,18
camel,1.6,org.apache.camel.processor.Splitter,7,3,0,12,35,15,3,10,3,0.944444444,156,0.333333333,1,0.848484848,0.328571429,1,2,20.85714286,3,1.2857,5
camel,1.6,org.apache.camel.processor.SendProcessor,10,2,0,15,29,11,3,12,6,0.666666667,181,1,4,0.666666667,0.355555556,1,1,16.6,3,1.1,5
camel,1.6,org.apache.camel.processor.LoggingErrorHandler,13,3,0,9,37,26,1,8,9,0.555555556,226,1,2,0.633333333,0.307692308,1,1,16.15384615,8,1.3846,2
camel,1.6,org.apache.camel.builder.DeadLetterChannelBuilder,38,2,0,21,68,627,3,19,38,0.824324324,326,1,7,0.102564103,0.105263158,0,0,7.368421053,2,1.0263,11
camel,1.6,org.apache.camel.processor.RoutingSlip,13,2,0,13,44,54,1,12,4,0.708333333,222,1,1,0.583333333,0.305555556,1,1,15.76923077,3,1.1538,3
camel,1.6,org.apache.camel.processor.loadbalancer.TopicLoadBalancer,4,3,0,8,12,6,4,4,3,2,62,0,0,0.863636364,0.5625,0,0,14.5,2,1,1
camel,1.6,org.apache.camel.processor.validation.ValidatingProcessor,19,1,1,7,36,137,1,6,16,0.857142857,184,1,1,0,0.157894737,0,0,8.315789474,2,1,2
camel,1.6,org.apache.camel.processor.loadbalancer.LoadBalancerConsumer,3,3,0,5,7,0,1,4,1,0,24,1,1,0.92,0.5,1,1,6.666666667,1,0.6667,1
camel,1.6,org.apache.camel.component.file.FileConsumer,30,4,0,16,87,297,3,16,17,0.880636605,793,1,1,0.555555556,0.166144201,1,1,25,17,2.7333,11
camel,1.6,org.apache.camel.NoTypeConversionAvailableException,4,5,0,25,11,0,24,1,4,0.5,52,1,0,0.85,0.5,0,0,11.5,2,1,1
camel,1.6,org.apache.camel.model.OutputType,5,3,16,21,15,4,17,4,3,0.75,53,1,0,0.983240223,0.5,1,3,9.2,3,1.2,1
camel,1.6,org.apache.camel.processor.Throttler,11,4,0,5,25,17,2,4,7,0.633333333,108,1,1,0.775,0.327272727,1,2,8.545454545,3,1,1
camel,1.6,org.apache.camel.Exchange,26,1,0,448,26,325,446,4,26,1.04,29,0,0,0,0.157692308,0,0,0,1,1,28
camel,1.6,org.apache.camel.NoSuchHeaderException,5,5,0,3,13,6,1,2,3,0.916666667,67,1,0,0.826086957,0.36,0,0,11.8,2,1,2
camel,1.6,org.apache.camel.processor.interceptor.StreamCaching,3,1,0,6,10,3,1,5,2,2,33,0,0,0,0.416666667,0,0,10,2,1,3
camel,1.6,org.apache.camel.component.file.FileEndpoint,59,3,0,24,97,1527,7,21,53,0.944357367,617,0.954545455,3,0.341463415,0.13362069,1,2,9.084745763,11,1.2034,9
camel,1.6,org.apache.camel.management.InstrumentationInterceptStrategy,2,1,0,6,6,0,1,5,2,0,31,1,0,0,0.625,0,0,14,1,0.5,3
camel,1.6,org.apache.camel.processor.interceptor.Debugger,14,1,0,14,42,53,2,12,11,0.794871795,213,1,1,0,0.230769231,0,0,13.78571429,3,1.3571,1
camel,1.6,org.apache.camel.processor.ChoiceProcessor,7,2,0,7,26,0,1,6,5,0.166666667,152,1,1,0.7,0.357142857,1,1,20.42857143,4,1.2857,1
camel,1.6,org.apache.camel.EndpointInject,2,1,0,2,2,1,2,0,2,2,2,0,0,0,1,0,0,0,1,1,1
camel,1.6,org.apache.camel.impl.ScheduledPollConsumer,15,3,6,12,33,75,6,6,11,0.821428571,179,1,0,0.657142857,0.205357143,1,1,10.4,3,0.9333,1
camel,1.6,org.apache.camel.component.bean.MethodInfo,27,1,0,16,67,283,5,13,14,0.888888889,410,1,3,0,0.157342657,0,0,13.85185185,7,1.5556,1
camel,1.6,org.apache.camel.processor.ExchangePatternProcessor,5,1,0,5,8,0,1,4,5,0,39,1,1,0,0.5,0,0,6.6,1,0.6,2
camel,1.6,org.apache.camel.processor.DelegateProcessor,10,2,14,26,19,3,22,4,7,0.111111111,81,1,1,0.636363636,0.5,1,1,7,1,0.8,2
camel,1.6,org.apache.camel.processor.UnitOfWorkProcessor,3,3,0,10,15,1,2,9,3,2,54,0,0,0.913043478,0.5,0,0,17,2,1,1
camel,1.6,org.apache.camel.impl.DefaultRouteContext,22,1,0,23,53,181,3,21,22,0.871428571,302,1,6,0,0.123376623,0,0,12.27272727,6,1.4091,4
camel,1.6,org.apache.camel.component.dataset.DataSetSupport,15,1,1,7,25,75,1,6,12,0.803571429,139,1,1,0,0.276190476,0,0,8,2,1,1
camel,1.6,org.apache.camel.component.seda.SedaConsumer,6,2,0,11,29,0,2,11,3,0.7,152,1,2,0.777777778,0.466666667,1,2,23.66666667,4,1.1667,1
camel,1.6,org.apache.camel.spi.Registry,2,1,0,22,2,1,22,0,2,2,2,0,0,0,0.833333333,0,0,0,1,1,1
camel,1.6,org.apache.camel.impl.EventDrivenPollingConsumer,12,3,0,12,27,42,2,10,8,0.704545455,124,1,2,0.678571429,0.233766234,1,1,9,2,0.8333,1
