name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
ivy,1.4,fr.jayasoft.ivy.xml.XmlModuleDescriptorUpdater,7,1,0,6,33,19,3,0,5,0.666666667,179,0,0,0,0.444444444,0,0,24.42857143,1,0.7143,1
ivy,1.4,fr.jayasoft.ivy.repository.AbstractRepository,20,1,5,14,44,112,7,7,10,0.614035088,255,1,1,0,0.177272727,0,0,11.6,3,1.2,1
ivy,1.4,fr.jayasoft.ivy.xml.XmlModuleDescriptorParser,8,2,0,12,29,26,3,0,6,0.714285714,99,1,1,0.142857143,0.238095238,1,1,11.25,1,0.75,1
ivy,1.4,fr.jayasoft.ivy.version.ChainVersionMatcher,7,2,0,5,18,0,1,0,7,0,125,1,0,0.538461538,0.464285714,1,1,16.71428571,3,1.8571,1
ivy,1.4,fr.jayasoft.ivy.resolver.RepositoryResolver,18,4,5,29,96,85,5,0,12,0.588235294,669,1,1,0.861788618,0.205882353,3,7,36.05555556,10,2.1111,1
ivy,1.4,fr.jayasoft.ivy.ant.IvyResolve,35,4,0,11,78,439,2,10,35,0.909926471,564,1,0,0.642105263,0.371428571,3,4,14.65714286,3,1.0286,1
ivy,1.4,fr.jayasoft.ivy.parser.ModuleDescriptorParser,4,1,0,12,4,6,11,3,4,2,4,0,0,0,0.5,0,0,0,1,1,1
ivy,1.4,fr.jayasoft.ivy.resolver.ResolverHelper,7,1,0,10,60,21,2,0,6,2,936,0,0,0,0.285714286,0,0,132.7142857,11,5.1429,1
ivy,1.4,fr.jayasoft.ivy.ant.IvyPostResolveTask,25,4,2,12,51,234,2,10,22,0.875,451,1,1,0.717647059,0.35,1,1,16.6,12,1.48,1
ivy,1.4,fr.jayasoft.ivy.Ivy,205,1,0,154,583,20326,84,98,179,0.969309463,8095,0.97826087,7,0,0.068627451,0,0,38.26341463,20,2.122,3
ivy,1.4,fr.jayasoft.ivy.parser.AbstractModuleDescriptorParser,2,1,3,8,5,1,3,5,2,2,15,0,0,0,0.625,0,0,6.5,1,0.5,1
ivy,1.4,fr.jayasoft.ivy.external.m2.PomModuleDescriptorParser,9,2,0,12,29,30,3,10,5,0.90625,242,0.75,3,0.125,0.21875,1,1,25.44444444,4,1.1111,1
ivy,1.4,fr.jayasoft.ivy.util.Configurator,21,1,0,5,79,58,3,0,18,0.7,948,1,0,0,0.292857143,0,0,43.95238095,18,2.619,1
ivy,1.4,fr.jayasoft.ivy.ant.IvyTask,26,3,19,32,87,303,19,15,4,0.933333333,691,0.666666667,0,0.606557377,0.285,2,2,25.46153846,7,2.1923,1
ivy,1.4,fr.jayasoft.ivy.xml.XmlIvyConfigurationParser,7,2,0,13,94,0,1,0,5,0.729166667,1203,1,2,0.739130435,0.357142857,1,2,169.7142857,1,0.8571,1
ivy,1.4,fr.jayasoft.ivy.xml.XmlModuleDescriptorWriter,3,1,0,16,65,3,5,0,2,2,877,0,0,0,0.416666667,0,0,291.3333333,4,1.6667,1
