name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
velocity,1.6.1,org.apache.velocity.runtime.resource.loader.StringResourceLoader,14,2,0,11,52,43,0,11,12,0.955128205,467,0.166666667,1,0.5,0.276923077,2,3,31.5,12,2.2143,1
velocity,1.6.1,org.apache.velocity.context.EvaluateContext,11,2,0,7,39,7,1,6,9,0.666666667,245,0,1,0.72972973,0.333333333,0,0,21,5,1.9091,2
velocity,1.6.1,org.apache.velocity.runtime.parser.node.ASTDirective,8,2,0,18,41,0,5,15,8,0.642857143,218,1,1,0.833333333,0.28125,1,1,25.75,1,0.75,3
velocity,1.6.1,org.apache.velocity.runtime.parser.node.MapGetExecutor,4,2,0,4,18,0,1,3,2,0.555555556,116,0.333333333,0,0.571428571,0.45,0,0,27.25,6,2,1
velocity,1.6.1,org.apache.velocity.runtime.log.Log4JLogChute,9,1,1,12,51,0,1,11,6,0.714285714,316,0.571428571,1,0,0.377777778,0,0,33.33333333,3,1.6667,2
velocity,1.6.1,org.apache.velocity.runtime.parser.node.ASTGENode,5,2,0,11,18,10,4,9,5,2,129,0,0,0.909090909,0.4,1,1,24.8,1,0.6,1
velocity,1.6.1,org.apache.velocity.runtime.parser.Parser,153,1,0,68,250,8092,49,61,50,0.743421053,8270,0.807692308,10,0,0.145559211,0,0,52.88235294,12,2.6275,11
velocity,1.6.1,org.apache.velocity.runtime.log.SystemLogChute,12,1,0,3,19,42,1,2,9,0.818181818,159,0.5,0,0,0.361111111,0,0,11.91666667,5,1.6667,2
velocity,1.6.1,org.apache.velocity.runtime.directive.Break,5,2,0,9,8,10,0,9,5,2,22,0,0,0.692307692,0.44,0,0,3.4,1,0.8,5
velocity,1.6.1,org.apache.velocity.runtime.parser.node.ASTEscapedDirective,4,2,0,7,10,6,4,5,4,2,28,0,0,0.9375,0.392857143,0,0,6,1,0.5,1
velocity,1.6.1,org.apache.velocity.runtime.parser.ParserTokenManager,89,1,0,5,123,492,1,4,10,0.80815508,13175,0.382352941,1,0,0.339015152,0,0,146.6516854,209,13.4831,9
velocity,1.6.1,org.apache.velocity.runtime.log.LogChuteSystem,5,1,0,6,9,0,2,4,4,0.25,37,1,1,0,0.433333333,0,0,6.2,1,0.8,2
velocity,1.6.1,org.apache.velocity.runtime.parser.node.ASTMethod,7,2,0,21,44,0,5,18,6,0.5,427,1,1,0.857142857,0.387755102,1,2,59.42857143,2,0.8571,3
velocity,1.6.1,org.apache.velocity.util.introspection.AbstractChainableUberspector,7,2,1,8,13,0,1,7,7,0.166666667,71,1,1,0.571428571,0.476190476,0,0,9,1,0.8571,2
velocity,1.6.1,org.apache.velocity.runtime.resource.loader.ResourceLoaderFactory,2,1,0,6,13,1,1,5,2,2,53,0,0,0,0.5,0,0,25.5,1,0.5,1
velocity,1.6.1,org.apache.velocity.runtime.resource.loader.FileResourceLoader,9,2,0,9,55,2,0,9,6,0.583333333,476,1,0,0.6,0.377777778,2,2,51.55555556,9,3.1111,1
velocity,1.6.1,org.apache.velocity.runtime.visitor.NodeViewMode,43,2,0,44,52,897,0,44,41,0.011904762,340,1,0,0.505882353,0.06760411,0,0,6.860465116,4,1.0698,1
velocity,1.6.1,org.apache.velocity.context.ProxyVMContext,10,2,0,9,46,0,1,8,8,0.555555556,296,0.5,1,0.75,0.385714286,0,0,28.2,9,2.6,3
velocity,1.6.1,org.apache.velocity.runtime.log.ServletLogChute,9,1,0,2,27,18,0,2,7,0.825,236,0.4,0,0,0.4,0,0,24.66666667,5,1.8889,2
velocity,1.6.1,org.apache.velocity.app.VelocityEngine,28,1,0,12,60,0,3,9,28,0,278,1,1,0,0.25,0,0,8.892857143,2,0.9286,2
velocity,1.6.1,org.apache.velocity.runtime.log.CommonsLogLogChute,5,1,0,4,26,0,0,4,5,0.916666667,121,0.333333333,0,0,0.48,0,0,22.6,2,1.4,2
velocity,1.6.1,org.apache.velocity.util.introspection.ClassMap,6,1,0,7,27,5,4,4,3,1.076923077,151,0.307692308,2,0,0.333333333,0,0,22,5,2.1667,3
velocity,1.6.1,org.apache.velocity.runtime.parser.node.ASTStop,4,2,0,9,8,6,4,7,4,2,23,0,0,0.9375,0.392857143,0,0,4.75,1,0.5,2
velocity,1.6.1,org.apache.velocity.runtime.directive.Macro,9,2,0,12,29,34,2,10,7,0.75,199,1,0,0.5625,0.263888889,0,0,21,5,1.4444,2
velocity,1.6.1,org.apache.velocity.runtime.parser.node.ParserVisitor,41,1,0,48,41,820,43,41,41,2,41,0,0,0,0.069767442,0,0,0,1,1,1
velocity,1.6.1,org.apache.velocity.runtime.parser.node.SimpleNode,32,1,39,65,56,418,54,14,31,0.913978495,405,0.916666667,7,0,0.175,1,1,11.28125,4,1.3438,1
velocity,1.6.1,org.apache.velocity.runtime.parser.node.ASTReference,15,2,0,28,83,25,7,23,13,0.735294118,1221,0.941176471,1,0.697674419,0.251851852,1,2,79.26666667,18,2.2,12
velocity,1.6.1,org.apache.velocity.runtime.directive.MacroParseException,6,4,0,6,14,0,2,4,5,0.9,239,1,0,0.75,0.375,1,3,38.5,10,3,1
velocity,1.6.1,org.apache.velocity.runtime.log.NullLogChute,5,1,1,3,6,10,1,2,5,2,13,0,0,0,0.48,0,0,1.6,1,0.8,2
velocity,1.6.1,org.apache.velocity.runtime.directive.Evaluate,5,2,0,14,31,10,0,14,5,2,239,0,0,0.692307692,0.44,0,0,46.8,1,0.8,4
velocity,1.6.1,org.apache.velocity.runtime.RuntimeSingleton,40,1,0,19,78,0,3,16,39,0.025641026,208,1,1,0,0.105128205,0,0,4.175,1,0.95,1
velocity,1.6.1,org.apache.velocity.runtime.parser.node.ASTEscape,5,2,0,6,11,8,4,4,5,0.875,37,0.5,0,0.909090909,0.4,0,0,6,1,0.6,1
velocity,1.6.1,org.apache.velocity.util.introspection.Uberspect,5,1,0,15,5,10,11,4,5,2,5,0,0,0,0.68,0,0,0,1,1,2
velocity,1.6.1,org.apache.velocity.util.ClassUtils,4,1,0,9,14,6,9,0,3,2,66,0,0,0,0.416666667,0,0,15.5,5,1.75,2
velocity,1.6.1,org.apache.velocity.runtime.VelocimacroManager,14,1,0,7,33,47,1,6,9,0.721153846,344,1,0,0,0.384615385,0,0,23,9,2.5714,1
velocity,1.6.1,org.apache.velocity.runtime.directive.Directive,10,1,9,26,11,31,19,8,10,0.777777778,54,1,1,0,0.271428571,0,0,4,1,0.9,3
velocity,1.6.1,org.apache.velocity.runtime.directive.Literal,5,2,0,5,10,8,0,5,5,0.75,31,0,0,0.692307692,0.44,0,0,5,1,0.8,2
velocity,1.6.1,org.apache.velocity.runtime.parser.node.MapSetExecutor,4,2,0,4,18,0,1,3,2,0.555555556,128,0.333333333,0,0.571428571,0.45,0,0,30.25,7,2.25,1
velocity,1.6.1,org.apache.velocity.runtime.directive.RuntimeMacro,6,2,0,14,38,1,1,13,5,0.6,297,1,1,0.642857143,0.361111111,0,0,47.66666667,5,1.6667,6
velocity,1.6.1,org.apache.velocity.context.InternalContextBase,20,1,1,7,31,110,2,5,19,0.881578947,160,1,2,0,0.18125,0,0,6.6,2,1.05,1
velocity,1.6.1,org.apache.velocity.runtime.visitor.BaseVisitor,44,1,1,44,86,946,1,43,44,1,344,1,1,0,0.064646465,0,0,6.772727273,1,0.9773,1
