name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
camel,1.4,org.apache.camel.view.RouteDotGenerator,8,2,0,8,31,28,1,7,1,2,394,0,0,0.588235294,0.347222222,1,1,48.25,7,3.125,1
camel,1.4,org.apache.camel.processor.RedeliveryPolicy,31,1,0,10,49,379,8,2,29,0.855555556,328,1,0,0,0.3,0,0,9.290322581,8,1.3548,4
camel,1.4,org.apache.camel.processor.RecipientList,6,2,0,15,25,5,2,13,3,0.6,88,1,2,0.722222222,0.416666667,1,1,13.33333333,1,0.8333,2
camel,1.4,org.apache.camel.model.WhenType,7,4,0,9,16,21,3,6,7,2,45,0,0,0.975308642,0.392857143,3,4,5.428571429,1,0.5714,1
camel,1.4,org.apache.camel.model.SetHeaderType,11,4,0,8,23,51,1,8,11,0.6,96,1,0,0.957575758,0.345454545,2,3,7.545454545,1,0.6364,1
camel,1.4,org.apache.camel.converter.stream.StreamCacheConverter,3,1,0,5,9,1,2,5,3,0.5,28,1,1,0,0.555555556,0,0,8,1,0.6667,6
camel,1.4,org.apache.camel.converter.IOConverter,27,1,0,12,71,349,9,3,24,0.807692308,292,1,0,0,0.082840237,0,0,9.777777778,1,0.9259,3
camel,1.4,org.apache.camel.spi.RouteContext,19,1,0,72,19,171,67,9,19,2,19,0,0,0,0.157894737,0,0,0,1,1,1
camel,1.4,org.apache.camel.processor.Throttler,10,4,0,4,19,7,1,3,9,0.666666667,120,1,0,0.789473684,0.425,1,2,10.6,1,0.8,3
camel,1.4,org.apache.camel.model.dataformat.JaxbDataFormat,7,3,0,4,12,13,1,3,6,0.583333333,55,1,0,0.642857143,0.314285714,1,2,6.571428571,3,1,2
camel,1.4,org.apache.camel.component.file.FileEndpoint,45,3,0,22,81,814,7,19,39,0.909090909,555,1,1,0.402985075,0.146694215,1,2,11,7,1.1778,5
camel,1.4,org.apache.camel.model.DelayerType,9,4,0,9,23,0,3,7,9,0.25,94,1,0,0.969325153,0.277777778,2,3,9.333333333,1,0.5556,3
camel,1.4,org.apache.camel.component.file.strategy.RenameFileProcessStrategy,8,2,0,8,25,14,1,7,7,0.642857143,105,1,1,0.666666667,0.326530612,0,0,11.875,1,0.375,1
camel,1.4,org.apache.camel.processor.validation.ValidatingProcessor,19,1,1,7,35,137,1,6,16,0.857142857,183,1,1,0,0.157894737,0,0,8.263157895,2,1,1
camel,1.4,org.apache.camel.component.file.FileConsumer,22,4,0,14,66,151,3,14,11,0.852813853,603,1,1,0.62962963,0.164502165,1,1,25.90909091,15,2.6818,8
camel,1.4,org.apache.camel.impl.DefaultComponent,24,2,36,53,61,256,38,16,16,0.804347826,301,1,1,0.382352941,0.316770186,1,1,11.375,3,1,5
camel,1.4,org.apache.camel.component.file.strategy.FileProcessStrategySupport,10,1,3,12,29,21,3,9,6,0.722222222,151,0.75,1,0,0.37037037,0,0,13.7,1,0.6,2
camel,1.4,org.apache.camel.builder.ExpressionBuilder,30,1,0,41,61,435,18,29,29,2,193,0,0,0,0.133333333,0,0,5.433333333,1,0.9667,3
camel,1.4,org.apache.camel.component.seda.SedaConsumer,6,2,0,11,27,0,2,11,3,0.7,115,1,2,0.764705882,0.466666667,1,2,17.5,2,0.8333,2
camel,1.4,org.apache.camel.model.OptionalIdentifiedType,13,1,3,4,26,58,3,1,10,0.777777778,112,1,1,0,0.472222222,0,0,7.384615385,2,1.0769,1
camel,1.4,org.apache.camel.util.ObjectHelper,38,1,0,109,111,697,105,4,36,0.918918919,923,1,0,0,0.090733591,0,0,23.26315789,8,3.1579,5
camel,1.4,org.apache.camel.component.bean.MethodInfo,17,1,0,8,32,82,3,7,13,0.84375,162,1,1,0,0.183006536,0,0,8.176470588,3,1.1765,5
camel,1.4,org.apache.camel.model.BeanRef,14,4,0,10,27,33,1,9,14,0.653846154,167,1,0,0.932926829,0.3,1,1,10.64285714,5,1.2857,1
camel,1.4,org.apache.camel.impl.ServiceSupport,14,1,31,35,28,49,33,2,7,0.807692308,200,1,0,0,0.380952381,0,0,12.85714286,3,1.2143,1
camel,1.4,org.apache.camel.converter.stream.StreamCache,0,1,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2
camel,1.4,org.apache.camel.converter.jaxp.BytesSource,6,2,0,2,14,0,2,0,6,0,52,1,0,0.692307692,0.5,0,0,7.5,1,0.6667,1
camel,1.4,org.apache.camel.component.bean.ProxyHelper,5,1,0,4,11,10,1,3,4,2,56,0,0,0,0.44,0,0,10.2,1,0.8,2
camel,1.4,org.apache.camel.model.AggregatorType,27,4,0,18,60,291,3,17,24,0.820512821,303,1,3,0.872928177,0.116049383,2,3,10,2,0.8889,7
camel,1.4,org.apache.camel.component.bean.MethodInvocation,5,1,0,4,5,10,4,0,5,2,5,0,0,0,1,0,0,0,1,1,1
camel,1.4,org.apache.camel.util.ResolverUtil,14,1,1,10,71,41,4,7,7,0.512820513,799,1,0,0,0.316239316,0,0,55.85714286,14,3.3571,3
camel,1.4,org.apache.camel.model.UnmarshalType,10,4,0,7,17,13,1,6,10,0.555555556,82,1,1,0.95625,0.375,1,1,7,2,0.8,1
camel,1.4,org.apache.camel.builder.BuilderSupport,31,1,1,16,59,437,1,15,28,0.855555556,251,1,2,0,0.133995037,0,0,7,2,1,3
camel,1.4,org.apache.camel.model.ThreadType,29,3,0,5,56,318,1,5,29,0.86038961,342,1,0,0.852272727,0.199233716,1,3,10.4137931,1,0.8966,1
camel,1.4,org.apache.camel.util.CamelContextHelper,13,1,0,24,41,78,15,9,12,2,218,0,0,0,0.461538462,0,0,15.76923077,2,1.2308,1
camel,1.4,org.apache.camel.processor.Pipeline,10,3,0,15,40,39,4,12,5,0.777777778,177,1,0,0.741935484,0.271604938,0,0,16.6,5,1.5,2
camel,1.4,org.apache.camel.component.mock.MockEndpoint,64,2,2,28,127,1836,12,25,50,0.883876358,1188,1,2,0.273809524,0.096119929,0,0,17.265625,6,1.2031,4
camel,1.4,org.apache.camel.model.TransformType,5,4,0,7,15,10,1,7,5,2,41,0,0,0.98136646,0.466666667,2,3,7.2,1,0.6,1
camel,1.4,org.apache.camel.converter.NIOConverter,13,1,0,6,43,76,3,3,11,0.916666667,180,1,0,0,0.1,0,0,12.76923077,1,0.8462,2
