name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
ivy,1.1,fr.jayasoft.ivy.DefaultDependencyDescriptor,23,1,0,7,52,171,2,5,20,0.837662338,420,1,2,0,0.25,0,0,16.95652174,4,1.4348,3
ivy,1.1,fr.jayasoft.ivy.url.URLHandler,4,1,0,10,4,6,9,1,4,2,4,0,0,0,0.55,0,0,0,1,1,1
ivy,1.1,fr.jayasoft.ivy.resolver.RepositoryResolver,13,4,2,17,57,22,2,15,9,0.25,346,1,1,0.85,0.192307692,3,7,25.53846154,6,1.6154,6
ivy,1.1,fr.jayasoft.ivy.resolver.AbstractURLResolver,38,2,0,37,153,569,1,37,21,0.89527027,1515,0.875,1,0.307692308,0.122332859,1,1,38.65789474,4,1.5,2
ivy,1.1,fr.jayasoft.ivy.ant.IvyResolve,15,4,0,8,51,47,1,8,15,0.785714286,255,1,0,0.777777778,0.366666667,2,4,15.6,1,0.9333,2
ivy,1.1,fr.jayasoft.ivy.ResolvedModuleRevision,6,1,0,13,6,15,11,3,6,2,6,0,0,0,1,0,0,0,1,1,1
ivy,1.1,fr.jayasoft.ivy.DefaultArtifact,8,2,0,7,15,0,4,3,8,0.571428571,83,0,1,0.3,0.34375,1,4,9.125,1,0.875,2
ivy,1.1,fr.jayasoft.ivy.ant.AntMessageImpl,5,1,0,3,17,0,1,2,4,0.416666667,74,1,0,0,0.5,0,0,13.2,4,1.2,3
ivy,1.1,fr.jayasoft.ivy.ant.IvyCachePath,15,4,0,9,44,63,0,9,15,0.833333333,230,1,0,0.777777778,0.366666667,2,4,13.93333333,1,0.9333,4
ivy,1.1,fr.jayasoft.ivy.ModuleId,6,1,0,27,13,0,27,0,6,0.2,87,1,0,0,0.444444444,1,1,13.16666667,4,1.3333,2
ivy,1.1,fr.jayasoft.ivy.ant.IvyPublish,34,4,0,13,88,433,0,13,32,0.925252525,531,1,0,0.597560976,0.375,2,4,14.17647059,1,0.9706,5
ivy,1.1,fr.jayasoft.ivy.conflict.LatestConflictManager,9,2,0,10,36,14,1,10,8,0.5625,159,1,1,0.454545455,0.377777778,0,0,16.44444444,4,1.3333,1
ivy,1.1,fr.jayasoft.ivy.ModuleRevisionId,11,1,0,42,27,31,41,1,11,0.3,164,1,1,0,0.340909091,1,1,13.72727273,6,2,3
ivy,1.1,fr.jayasoft.ivy.url.BasicURLHandler,5,1,0,6,33,10,2,4,5,2,229,0,0,0,0.48,0,0,44.8,7,2,2
ivy,1.1,fr.jayasoft.ivy.url.URLHandlerDispatcher,9,1,0,4,19,20,1,3,9,0.1875,82,1,1,0,0.317460317,0,0,7.888888889,2,1,1
ivy,1.1,fr.jayasoft.ivy.Configuration,9,1,0,6,14,24,5,1,9,0.65625,105,1,1,0,0.311111111,1,1,10.22222222,2,0.8889,1
ivy,1.1,fr.jayasoft.ivy.Main,5,1,0,18,52,10,0,18,2,2,489,0,0,0,0.25,0,0,96.8,1,0.8,4
ivy,1.1,fr.jayasoft.ivy.ant.IvyTask,14,3,11,16,49,69,11,7,3,0.807692308,255,1,0,0.755102041,0.285714286,0,0,17.07142857,4,1.9286,6
ivy,1.1,fr.jayasoft.ivy.resolver.DualResolver,13,2,0,11,34,0,2,11,13,0.333333333,184,1,2,0.571428571,0.240384615,1,1,13,3,1.2308,2
ivy,1.1,fr.jayasoft.ivy.DependencyArtifactDescriptor,6,1,0,8,6,15,7,2,6,2,6,0,0,0,1,0,0,0,1,1,1
ivy,1.1,fr.jayasoft.ivy.util.Message,15,1,0,33,32,13,31,2,13,0.875,211,0.375,1,0,0.160714286,0,0,12.53333333,2,1.4667,4
ivy,1.1,fr.jayasoft.ivy.report.ResolveReport,10,1,0,10,31,0,6,5,10,0.555555556,182,1,1,0,0.266666667,0,0,17,3,1.5,2
ivy,1.1,fr.jayasoft.ivy.repository.Repository,10,1,0,8,10,45,6,2,10,2,10,0,0,0,0.5,0,0,0,1,1,2
ivy,1.1,fr.jayasoft.ivy.xml.XmlIvyConfigurationParser,5,2,0,6,63,0,1,6,5,0.541666667,435,1,2,0.80952381,0.4,1,1,84.8,1,0.8,4
ivy,1.1,fr.jayasoft.ivy.util.FileUtil,6,1,0,12,32,15,8,4,6,1.2,152,1,0,0,0.30952381,0,0,24.16666667,1,0.8333,3
ivy,1.1,fr.jayasoft.ivy.ModuleDescriptor,20,1,0,30,20,190,23,7,20,1.052631579,21,0,0,0,0.225,0,0,0,1,1,2
ivy,1.1,fr.jayasoft.ivy.xml.XmlModuleDescriptorParser,21,2,0,21,114,122,3,19,9,0.9,1472,1,6,0.472222222,0.238888889,1,2,68.0952381,8,1.7619,13
ivy,1.1,fr.jayasoft.ivy.ResolveData,12,1,0,11,17,18,9,4,12,0.681818182,103,1,2,0,0.241666667,0,0,7.083333333,1,0.75,1
ivy,1.1,fr.jayasoft.ivy.report.LogReportOutputter,4,1,0,10,44,6,1,9,3,2,432,0,0,0,0.357142857,0,0,107,11,3.5,2
ivy,1.1,fr.jayasoft.ivy.repository.Resource,4,1,0,14,4,6,14,0,4,2,4,0,0,0,1,0,0,0,1,1,1
ivy,1.1,fr.jayasoft.ivy.xml.XmlReportParser,2,1,0,7,21,1,4,4,2,2,88,0,0,0,0.625,0,0,43,1,0.5,1
ivy,1.1,fr.jayasoft.ivy.ant.IvyArtifactProperty,16,4,0,8,43,86,0,8,16,0.857142857,226,1,0,0.765625,0.359375,2,4,12.6875,1,0.9375,3
ivy,1.1,fr.jayasoft.ivy.DefaultPublishingDRResolver,2,1,0,5,5,1,2,3,2,2,9,0,0,0,0.666666667,0,0,3.5,1,0.5,1
ivy,1.1,fr.jayasoft.ivy.report.XmlReportOutputter,6,1,0,19,81,15,3,17,5,2,681,0,0,0,0.285714286,0,0,112.5,19,4.3333,3
ivy,1.1,fr.jayasoft.ivy.xml.XmlModuleDescriptorUpdater,6,1,0,6,39,13,3,3,4,0.6,193,0,0,0,0.35,0,0,31,1,0.6667,7
ivy,1.1,fr.jayasoft.ivy.repository.url.URLRepository,8,2,0,8,39,24,2,7,5,0.857142857,193,1,2,0.695652174,0.375,0,0,22.875,1,0.875,1
ivy,1.1,fr.jayasoft.ivy.ant.IvyReport,22,4,0,12,64,149,0,12,18,0.863095238,464,1,0,0.7,0.345454545,2,3,19.72727273,1,0.9545,5
ivy,1.1,fr.jayasoft.ivy.Ivy,82,1,0,72,318,3021,37,48,72,0.943883277,3982,0.954545455,4,0,0.087369421,0,0,47.29268293,13,2.1951,36
ivy,1.1,fr.jayasoft.ivy.resolver.AbstractResolver,17,1,4,16,31,120,4,12,16,0.791666667,146,1,1,0,0.183823529,0,0,7.411764706,2,1.1176,3
ivy,1.1,fr.jayasoft.ivy.repository.file.FileRepository,11,2,0,7,31,45,2,6,6,0.5,166,1,1,0.64,0.363636364,0,0,13.90909091,2,0.9091,1
ivy,1.1,fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor,10,1,0,6,26,15,1,5,10,0.694444444,125,1,2,0,0.3,1,1,11.1,2,1.1,3
ivy,1.1,fr.jayasoft.ivy.util.DefaultMessageImpl,5,1,0,3,8,4,2,1,5,0.5,34,1,0,0,0.6,0,0,5.6,2,1,1
ivy,1.1,fr.jayasoft.ivy.resolver.BasicResolver,32,2,1,31,147,434,2,30,19,0.923387097,1429,0.875,1,0.347826087,0.121442125,1,1,43.40625,5,1.5938,12
ivy,1.1,fr.jayasoft.ivy.DefaultModuleDescriptor,38,1,0,13,86,519,3,10,38,0.866795367,593,1,2,0,0.12406015,0,0,14.23684211,3,1.2895,7
ivy,1.1,fr.jayasoft.ivy.util.IvyPatternHelper,16,1,0,10,46,116,8,2,15,1.007407407,431,0.222222222,0,0,0.219047619,0,0,25.375,8,1.75,2
ivy,1.1,fr.jayasoft.ivy.repository.url.URLResource,8,1,0,7,21,0,3,4,7,0.428571429,108,1,0,0,0.5625,0,0,11.875,2,1.25,1
ivy,1.1,fr.jayasoft.ivy.util.MessageImpl,3,1,0,5,3,3,5,0,3,2,3,0,0,0,0.666666667,0,0,0,1,1,1
ivy,1.1,fr.jayasoft.ivy.resolver.ChainResolver,12,2,0,12,55,0,1,12,12,0.409090909,320,1,0,0.592592593,0.212962963,1,1,25.5,5,1.5833,6
ivy,1.1,fr.jayasoft.ivy.util.XMLHelper,4,1,0,5,18,4,3,2,2,0.833333333,109,0.5,0,0,0.416666667,0,0,24.75,1,0.5,2
ivy,1.1,fr.jayasoft.ivy.DefaultModuleRevision,10,1,0,7,17,27,3,4,10,0.75,69,1,2,0,0.28,1,1,5.5,2,1,1
ivy,1.1,fr.jayasoft.ivy.latest.LatestRevisionStrategy,4,2,0,4,14,2,2,3,2,0.666666667,89,0.5,0,0.714285714,0.444444444,0,0,20.75,7,2,1
ivy,1.1,fr.jayasoft.ivy.Status,5,1,0,3,17,6,3,0,4,0.95,136,0.8,0,0,0.375,0,0,25.2,2,1,1
ivy,1.1,fr.jayasoft.ivy.resolver.AbstractResourceResolver,23,3,1,15,68,127,1,14,8,0.613636364,472,1,0,0.676470588,0.180124224,1,8,19.43478261,4,1.4783,2
ivy,1.1,fr.jayasoft.ivy.IvyNode,67,1,0,30,173,1691,15,21,52,0.881818182,2020,1,6,0,0.122201493,1,1,28.85074627,18,2.3881,25
ivy,1.1,fr.jayasoft.ivy.PublishingDependencyRevisionResolver,1,1,0,6,1,0,5,1,1,2,1,0,0,0,1,0,0,0,1,1,1
ivy,1.1,fr.jayasoft.ivy.url.ApacheURLLister,6,1,0,6,37,13,2,4,5,0.2,172,1,0,0,0.666666667,0,0,27.5,1,0.6667,2
ivy,1.1,fr.jayasoft.ivy.ant.IvyRetrieve,14,4,0,4,30,55,0,4,14,0.833333333,170,1,0,0.790322581,0.357142857,2,4,10.71428571,1,0.9286,4
ivy,1.1,fr.jayasoft.ivy.report.ArtifactDownloadReport,9,1,0,13,13,12,11,2,9,0.75,47,1,2,0,0.333333333,0,0,3.888888889,1,0.8889,1
