name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
jEdit,4.2,org.gjt.sp.jedit.textarea.Gutter,40,4,0,14,106,606,5,14,36,0.929230769,1100,0.88,3,0.943065693,0.125,3,17,25.875,31,2.1,1
jEdit,4.2,org.gjt.sp.jedit.io.VFS,36,1,4,40,88,534,32,15,30,0.979365079,725,0.277777778,0,0,0.221978022,0,0,18.63888889,7,1.5556,3
jEdit,4.2,org.gjt.sp.jedit.syntax.ParserRule,11,1,0,7,22,43,4,4,9,0.751851852,364,0,4,0,0.533333333,0,0,29.63636364,5,1.4545,1
jEdit,4.2,org.gjt.sp.jedit.pluginmgr.ManagePanel,9,5,0,11,58,20,10,8,2,0.875,308,0.666666667,2,0.987897126,0.296296296,0,0,32.55555556,1,0.8889,1
jEdit,4.2,org.gjt.sp.jedit.options.ShortcutsOptionPane,12,6,0,12,62,38,4,12,1,0.8,334,1,1,0.983823529,0.25,4,12,26.41666667,4,1.6667,1
jEdit,4.2,org.gjt.sp.jedit.gui.FloatingWindowContainer,13,6,0,9,38,62,5,8,9,0.8125,177,1,2,0.98173516,0.307692308,3,3,12.30769231,2,1,2
jEdit,4.2,org.gjt.sp.jedit.syntax.Token,6,1,1,10,16,11,9,1,4,1.128571429,183,0,2,0,0.32,0,0,24.83333333,2,0.8333,1
jEdit,4.2,org.gjt.sp.jedit.Mode,13,1,0,17,30,26,12,6,13,0.733333333,278,1,3,0,0.338461538,0,0,20,5,2.2308,3
jEdit,4.2,org.gjt.sp.jedit.TextUtilities,15,1,0,11,50,105,7,5,14,1.071428571,896,0.375,0,0,0.304761905,0,0,58.2,31,7.4,2
jEdit,4.2,org.gjt.sp.jedit.GUIUtilities,58,1,0,123,174,1621,109,20,52,0.944444444,1911,0.333333333,1,0,0.097007224,0,0,31.74137931,16,2.931,4
jEdit,4.2,org.gjt.sp.jedit.gui.KeyEventWorkaround,3,1,0,7,12,1,6,1,3,1.166666667,261,0.666666667,0,0,0.333333333,0,0,84,85,28.6667,1
jEdit,4.2,org.gjt.sp.jedit.search.SearchBar,20,5,0,18,84,118,5,18,5,0.821052632,499,1,3,0.97172619,0.33,2,5,23.45,12,1.65,1
jEdit,4.2,org.gjt.sp.jedit.browser.VFSFileChooserDialog,12,7,0,23,97,32,8,21,5,0.805194805,569,1,3,0.983508246,0.263888889,1,1,45.83333333,11,2.5,1
jEdit,4.2,org.gjt.sp.jedit.gui.JCheckBoxList,10,5,0,5,42,43,2,5,9,0.666666667,219,1,0,0.990654206,0.375,1,1,20.8,4,1.6,1
jEdit,4.2,org.gjt.sp.jedit.Registers,19,1,0,20,88,123,7,15,15,0.642857143,783,0.714285714,1,0,0.25,0,0,39.84210526,17,4.2632,1
jEdit,4.2,org.gjt.sp.jedit.textarea.TextAreaPainter,51,4,0,25,131,927,18,15,48,0.971666667,923,0.138888889,5,0.92816092,0.130718954,3,21,16.39215686,7,1.6078,1
jEdit,4.2,org.gjt.sp.jedit.jEdit,130,1,0,258,450,7403,223,79,91,0.927292168,5494,0.965517241,10,0,0.051550388,0,0,41.03846154,71,4,6
jEdit,4.2,org.gjt.sp.jedit.search.HyperSearchRequest,9,2,0,20,52,16,4,20,2,0.770833333,398,1,4,0.428571429,0.24691358,0,0,42.55555556,7,2.2222,6
jEdit,4.2,org.gjt.sp.jedit.PluginJAR,32,1,1,40,161,236,27,26,17,0.806451613,1927,0.882352941,4,0,0.192708333,0,0,58.6875,18,3.5,2
jEdit,4.2,org.gjt.sp.jedit.browser.VFSDirectoryEntryTable,16,5,0,18,120,88,8,13,12,0.813333333,873,0.8,2,0.982618772,0.171875,3,12,53.25,29,4.75,1
