name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
camel,1.2,org.apache.camel.ProducerTemplate,27,1,0,6,27,351,1,5,27,2,27,0,0,0,0.412037037,0,0,0,1,1,3
camel,1.2,org.apache.camel.processor.TryProcessor,8,2,0,10,28,0,1,9,3,0.357142857,224,1,3,0.684210526,0.371428571,1,1,26.5,2,1,9
camel,1.2,org.apache.camel.builder.xml.Namespaces,2,1,0,2,5,1,1,1,1,2,22,0,0,0,0.5,0,0,7,3,1.5,2
camel,1.2,org.apache.camel.component.seda.SedaEndpoint,7,2,0,11,11,15,4,10,6,0.5,44,1,0,0.772727273,0.265306122,0,0,5.142857143,1,0.7143,2
camel,1.2,org.apache.camel.model.ChoiceType,13,2,0,12,37,42,4,9,13,0.611111111,175,1,1,0.885714286,0.276923077,1,4,12.23076923,3,1.1538,6
camel,1.2,org.apache.camel.management.InstrumentationAgentImpl,20,2,1,16,74,68,2,15,11,0.864661654,537,0.714285714,3,0.419354839,0.173684211,1,1,25.15,12,1.55,4
camel,1.2,org.apache.camel.CamelExchangeException,2,4,6,8,7,0,6,2,2,1,23,1,1,0.944444444,0.666666667,0,0,9.5,1,0.5,1
camel,1.2,org.apache.camel.model.WhenType,6,3,0,8,15,15,2,6,6,2,42,0,0,0.971428571,0.416666667,2,3,6,1,0.5,2
camel,1.2,org.apache.camel.model.ThrottlerType,14,2,0,4,25,31,1,4,14,0.634615385,140,1,0,0.885714286,0.3,1,4,8.714285714,1,0.8571,3
camel,1.2,org.apache.camel.processor.ChoiceProcessor,7,2,0,7,25,0,1,6,5,0.166666667,153,1,1,0.684210526,0.357142857,1,1,20.57142857,4,1.2857,2
camel,1.2,org.apache.camel.processor.loadbalancer.TopicLoadBalancer,3,2,0,4,10,3,1,3,2,2,32,0,0,0.6,0.666666667,0,0,9.666666667,1,0.6667,2
camel,1.2,org.apache.camel.language.simple.SimpleLanguage,8,1,0,7,32,28,0,7,4,2,237,0,0,0,0.625,0,0,28.625,11,3,2
camel,1.2,org.apache.camel.impl.DefaultEndpoint,19,1,15,32,38,139,21,11,16,0.822222222,216,1,3,0,0.175438596,1,1,10.10526316,5,1.4737,4
camel,1.2,org.apache.camel.impl.DefaultLifecycleStrategy,6,1,0,6,7,15,1,5,6,2,14,0,0,0,0.361111111,0,0,1.333333333,1,0.8333,4
camel,1.2,org.apache.camel.impl.CachingInjector,3,1,0,4,6,0,2,2,2,0.5,33,1,1,0,0.666666667,0,0,9,2,1,1
